publish,event_id,record_type,evidence,disease,title,location,iso3,latitude,longitude,location_precision,published,updated,response,human_suspected,human_confirmed,human_deaths,animal_outbreaks,animal_sick,animal_deaths,animal_culled,species,source_id,source_name,source_level,source_kind,access_level,source_url,verification,summary
true,kemkes-profile-rabies-lyssa-2022-sulawesi-tengah,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Sulawesi Tengah,"Sulawesi Tengah, Indonesia",IDN,-1.43,121.45,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,3,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-sulawesi-selatan,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Sulawesi Selatan,"Sulawesi Selatan, Indonesia",IDN,-3.67,119.97,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,14,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-sulawesi-tenggara,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Sulawesi Tenggara,"Sulawesi Tenggara, Indonesia",IDN,-4.14,122.17,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,2,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-gorontalo,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Gorontalo,"Gorontalo, Indonesia",IDN,0.7,122.45,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,2,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2022-maluku,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2022 · Maluku,"Maluku, Indonesia",IDN,-3.24,130.15,province,2022-12-31,2025-09-12,Program pengendalian rabies,,,2,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-sumatera-utara,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Sumatera Utara,"Sumatera Utara, Indonesia",IDN,2.12,99.55,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,20,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-sumatera-barat,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Sumatera Barat,"Sumatera Barat, Indonesia",IDN,-0.74,100.8,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,7,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-riau,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Riau,"Riau, Indonesia",IDN,0.29,101.71,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,2,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-jambi,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Jambi,"Jambi, Indonesia",IDN,-1.49,102.44,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,1,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-sumatera-selatan,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Sumatera Selatan,"Sumatera Selatan, Indonesia",IDN,-3.32,103.91,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,4,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-bengkulu,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Bengkulu,"Bengkulu, Indonesia",IDN,-3.58,102.35,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,1,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-jawa-barat,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Jawa Barat,"Jawa Barat, Indonesia",IDN,-7.09,107.67,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,1,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-bali,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Bali,"Bali, Indonesia",IDN,-8.34,115.09,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,9,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-nusa-tenggara-barat,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Nusa Tenggara Barat,"Nusa Tenggara Barat, Indonesia",IDN,-8.65,117.36,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,4,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-nusa-tenggara-timur,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Nusa Tenggara Timur,"Nusa Tenggara Timur, Indonesia",IDN,-8.66,121.08,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,35,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-kalimantan-barat,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Kalimantan Barat,"Kalimantan Barat, Indonesia",IDN,-0.28,111.48,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,16,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-kalimantan-tengah,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Kalimantan Tengah,"Kalimantan Tengah, Indonesia",IDN,-1.68,113.38,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,2,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-sulawesi-utara,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Sulawesi Utara,"Sulawesi Utara, Indonesia",IDN,0.62,123.98,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,18,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-sulawesi-tengah,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Sulawesi Tengah,"Sulawesi Tengah, Indonesia",IDN,-1.43,121.45,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,3,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-sulawesi-selatan,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Sulawesi Selatan,"Sulawesi Selatan, Indonesia",IDN,-3.67,119.97,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,11,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-gorontalo,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Gorontalo,"Gorontalo, Indonesia",IDN,0.7,122.45,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,1,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2023-maluku,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2023 · Maluku,"Maluku, Indonesia",IDN,-3.24,130.15,province,2023-12-31,2025-09-12,Program pengendalian rabies,,,11,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2024-sumatera-utara,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2024 · Sumatera Utara,"Sumatera Utara, Indonesia",IDN,2.12,99.55,province,2024-12-31,2025-09-12,Program pengendalian rabies,,,14,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2024-sumatera-barat,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2024 · Sumatera Barat,"Sumatera Barat, Indonesia",IDN,-0.74,100.8,province,2024-12-31,2025-09-12,Program pengendalian rabies,,,3,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2024-riau,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2024 · Riau,"Riau, Indonesia",IDN,0.29,101.71,province,2024-12-31,2025-09-12,Program pengendalian rabies,,,5,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2024-sumatera-selatan,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2024 · Sumatera Selatan,"Sumatera Selatan, Indonesia",IDN,-3.32,103.91,province,2024-12-31,2025-09-12,Program pengendalian rabies,,,5,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2024-bengkulu,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2024 · Bengkulu,"Bengkulu, Indonesia",IDN,-3.58,102.35,province,2024-12-31,2025-09-12,Program pengendalian rabies,,,1,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2024-bali,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2024 · Bali,"Bali, Indonesia",IDN,-8.34,115.09,province,2024-12-31,2025-09-12,Program pengendalian rabies,,,7,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2024-nusa-tenggara-barat,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2024 · Nusa Tenggara Barat,"Nusa Tenggara Barat, Indonesia",IDN,-8.65,117.36,province,2024-12-31,2025-09-12,Program pengendalian rabies,,,10,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
true,kemkes-profile-rabies-lyssa-2024-nusa-tenggara-timur,event,confirmed,Rabies,Kematian rabies (Lyssa) — agregat tahunan 2024 · Nusa Tenggara Timur,"Nusa Tenggara Timur, Indonesia",IDN,-8.66,121.08,province,2024-12-31,2025-09-12,Program pengendalian rabies,,,46,,,,,,kemkes-profile-2024-cases,Kemenkes RI • Profil Kesehatan Indonesia 2024,Nasional,Laporan resmi,public,https://www.kemkes.go.id/id/profil-kesehatan-indonesia-2024,Terkonfirmasi dari sumber resmi Kemenkes RI; Lampiran 74.c pada halaman PDF 499.,Agregat tahunan resmi. Angka adalah kematian Lyssa; GHPR dan pemberian VAR tidak dihitung sebagai kasus rabies.
